Product Name,Category,Type,Description,Condition,Place Name,Region,Geo Position,ICBM,Post ID,Posted Date,Label,ID,Actual Class,
Ductless Mini Split Air Conditioner Heat Pump AC Unit Top Brands,Appliance,NonTV,"Top Brands & Types of Ductless Mini Split Air Conditioners

*** Free Shipping ***

Federal Tax Rebate Qualified!

7 Year Compressor and 5 Year Part Warranty!

Online and telephone tech support included.

PaylessMiniSplit.com
305-517-3908
https://paylessminisplit.com

Titanium 110V Heat Pump with Kit
12,000 BTU 18 SEER
9,000 BTU 19 SEER

Blizzard Hyper Heat Pump with Kit
9,000 BTU 28 SEER
12,000 BTU 25 SEER

Blue III 220V Heat Pump with Kit
9,000 BTU 22Seer
12,000 BTU 21Seer
18,000 BTU 23Seer
24,000 BTU 21Seer
36,000 BTU 19 Seer

Dual and Multi Zone Mini Split
21 SEER Heat Pump 220V

18,000 BTU (9,000 + 9,000)
18,000 BTU (9,000 + 12,000)
24,000 BTU (9,000 + 9,000 + 9,000)
24,000 BTU (12,000 + 12,000)
30,000 BTU (12,000+ 9,000 + 9,000)
36,000 BTU (9,000+9,000+9,000+9,000)
36,000 BTU (12,000+12,000+12,000)
36,000 BTU (18,000+18,000)
36,000 BTU (9,000+9,000+18,000)
42,000 BTU (9,000 X 5)
48,000 and 60,000 BTU in stock


Hey, you there!

Are you tired of paying exorbitant amounts of money to keep your house at just the right temperature? Don’t you wish everyone would stop changing the dial on the thermostat? Does all of this make you so upset that sometimes you just want to rip the walls apart, only to stop short of doing so because of the vast network of complex duct work that lies underneath them, which you might damage in the process of venting your enormous (albeit justified) frustration?

Well, we have very good news for you! With our top-of-the-line ductless mini-split air conditioning units, you will never be forced to stew over questions like these ever again.

Never ever.

We promise.

This is because these units are designed to be incredibly energy-efficient - we are, after all, Energy Star certified. As a result, you will consume less energy while feeling more comfortable than ever.

What’s more, because these mini-splits are mounted in individual rooms, as opposed to being hooked up to some byzantine system of ducts, you don’t have to worry about people messing around with your settings. Everyone can adjust the temperature in their room as they see fit. With these mini-splits, we can all live where the climate suits our clothes. You can even save more money by turning off the units in rooms that aren’t used very often.

Okay, now you want in, right?

Great!

Now, they say freedom ain’t free, and that may very well be the case. I can, however, tell you what is free: shipping on all orders from PaylessMiniSplit.com.

Not only that, by the way - you can even get some money for free, too!

Say what?

You read that correctly.

Thanks to the current policies in place by the federal government, as well as many regional utility companies, you could actually get some bucks for your buy in the form of tax credits and rebates, should your appliances qualify as adequately energy-efficient (based on the criteria specified).

Luckily for you, of course, all of the products we have for sale would qualify you for some of this dinero libre. So go ahead and stack up those racks - you deserve it, for being such a conscientious consumer.

We hope that these state-of-the-art units keep you satisfied, forever. Forever ever? Forever ever.


PaylessMiniSplit.com
305-517-3908
https://paylessminisplit.com


#paylessminisplit #minisplit #ductless #blue3 #Air-Con",new,Homestead,US-IN,25.530300;-80.391800,"25.530300, -80.391800",7692167617,2023-11-28T11:50:30-0500,Craigslist,1,0,
Dishwasher,Appliance,NonTV,"Kitchenaid with stainless interior and large racks. Can see in operation. You pick up
Call for more details. No emails answered",good,Greenfield,US-IN,39.790200;-85.814100,"39.790200, -85.814100",7692152827,2023-11-28T11:17:43-0500,Craigslist,2,0,
Ice Cream Dipping Freezer,Appliance,NonTV,"I have an ice cream dipping freezer that was once used for our food truck. Runs just fine, just needs some clean up TLC. This will hold up to 14, 3-gallon drums.",good,Brownsburg,US-IN,39.846600;-86.386900,"39.846600, -86.386900",7692109372,2023-11-28T09:29:58-0500,Craigslist,3,0,
Estate whirlpool washer/dryer set,Appliance,NonTV,"East side Indy.
U buy uhaul. Washer and dryer set or it will sell set or separate. Works Good Condition.
$275.00 or best offer text or call
thank you",good,Indianapolis,US-IN,39.832600;-86.083600,"39.832600, -86.083600",7692100889,2023-11-28T09:01:57-0500,Craigslist,4,0,
coffee maker,Appliance,NonTV,Uses kcups and nesspresso pods works great,excellent,Indianapolis,US-IN,39.816200;-86.296100,"39.816200, -86.296100",7692030089,2023-11-27T22:19:28-0500,Craigslist,5,0,
Midea Garage Ready 17-cu ft Frost-free Upright Freezer/Fridge,Appliance,NonTV,"Midea Garage Ready 17-cu ft Frost-free Convertible Upright Freezer/Refrigerator
-2-In-1 freezer or fridge, switch between freezer and refrigerator with a single click to match your storage needs
-Energy star qualified helps you save money on utility bills without sacrificing performance
-Easy to use exterior electronic controls, adjust with one touch, monitor at a glance


No Trades or Deliveries * Cash Only * Texting Preferred.

Please Include the Ad I.D. or a Screen Shot.

I'm Not Always Available On Weekends,

Thank You For Your Patience If I Don't Get Back To You Until Monday.

Please, No 6 Digit Codes Or Cashiers Checks!

Hope To Hear From You,

Feel free to text me anytime.
John Van

> NPRTO SALES",good,Indianapolis,US-IN,39.868900;-85.976500,"39.868900, -85.976500",7692010120,2023-11-27T20:44:24-0500,Craigslist,6,0,
"ZLine 48"" Range Hood",Appliance,NonTV,"Zline 48"" Stainless Steel Range Hood. Brand New. Still in box. Has 6 inch duct and LED lights",new,Zionsville,US-IN,39.956100;-86.276700,"39.956100, -86.276700",7691899935,2023-11-27T15:23:36-0500,Craigslist,7,0,
Over-the-Range Microwave-Panasonic 1250W Inverter,Appliance,NonTV,"$60 obo Over-the-Range Microwave-Panasonic 1250W with Cyclonic Wave Inverter
Perfect Condition. Great Looking and Fully Functional. No longer need due to house renovation.
Original Value $300. See amazon listing for details.
https://www.amazon.com/gp/product/B0C7CQ6W86/ref=ewc_pr_img_1?smid=A126KCOQ6DZGCW&psc=1

Serious buyer only; Local Pick up; Cash
Item location: Fishers IN, 131St & Howe Rd.
Inquiry: text 317.561.o488",excellent,fishers,US-IN,39.957500;-86.023000,"39.957500, -86.023000",7691846825,2023-11-27T13:32:05-0500,Craigslist,8,0,
Shark Navigator NV351 Vacuum,Appliance,NonTV,"I purchased this Shark NV351 Navigator Lift-Away Vacuum in 2015 for $160. Cosmetically, the vacuum has worn a bit, but it functions as well as a new vacuum.

Last year, I thought it had died, and I bought another. But I was wrong. I had not cleaned the felt filter properly, and the vacuum lost suction. I put the vacuum back to work in the basement, where it has seen little use. Now, I am preparing to move from a house to an apartment, and I need to shed a lot of stuff.

Today, Target asks $210 for this vacuum; eBay sells a refurbished version for $100. I am asking $40, one-fourth of what I paid.",excellent,Columbus,US-IN,39.225824;-85.885783,"39.225824, -85.885783",7691604347,2023-11-26T18:40:59-0500,Craigslist,9,0,
GE flat top oven/ stove,Appliance,NonTV,GE oven/stove in black. Flat top glass electric burners. Oven works great as well as all other features of the oven work great. We are moving to an apartment so this is the reason for the low price. I can help you get it out the front door but you will have to bring a couple strong men with you and a truck or trailer to load it in. We can fully demonstrate all functionality. Thank you!,good,Indianapolis,US-IN,39.814851;-86.301915,"39.814851, -86.301915",7691526752,2023-11-26T14:42:15-0500,Craigslist,10,0,
Kenmore Elite,Appliance,NonTV,Kenmore Elite freezer and refrigerator top and bottom loader. This refrigerator freezer works perfectly and has for years we are just now getting rid of it due to moving into an apartment that already has one. I can assist in getting it out of the house but you would have to bring a couple strong men with and potentially a dolly to get it out of here.,excellent,Indianapolis,US-IN,39.814635;-86.301783,"39.814635, -86.301783",7691523989,2023-11-26T14:35:09-0500,Craigslist,11,0,
GE Clothes Washer,Appliance,NonTV,Working GE clothes washer. The reason the price is set so low is we will be moving within the next 5 days. Whoever picks it up is responsible for getting it out of the house and disconnecting it (which seems very easy). I can assist in moving it out of the house but we may need another strong man or two to get it outside. I can show you that it works and it's in perfect shape. You are responsible for transporting it to wherever it needs to go and I can demonstrate that it works for you before purchasing. Locating near Clermont.,excellent,Indianapolis,US-IN,39.814771;-86.301813,"39.814771, -86.301813",7691521273,2023-11-26T14:28:00-0500,Craigslist,12,0,
GE 1150 Watt Microwave Oven,Appliance,NonTV,"GE Microwave Oven 1150 watt this microwave really cooks, almost new- in very good condition.",GE,Indianapolis,US-IN,39.678900;-86.130200,"39.678900, -86.130200",7684907763,2023-11-06T20:36:54-0500,Craigslist,13,0,
Hoover SteamVac Deluxe,Appliance,NonTV,"Hoover SteamVac Deluxe model F5866-900 carpet cleaner. Cleans carpet fibers by applying hot tap water and cleaning solution and uses five rotating brushes. Includes stair/upholstery nozzle, one 16 FL OZ, one 64 FL OZ bottle of carpet/upholstery detergent and the owner's manual. Call and ask for Will. Do not send TEXT.",Hoover,Indianapolis,US-IN,39.864700;-86.118100,"39.864700, -86.118100",7691450603,2023-11-26T11:16:29-0500,Craigslist,14,0,
True GDM-26-HC-LD Single Swing Glass Door Merchandiser Refrigerator,Appliance,NonTV,"USED True GDM-26 Single Swing Glass Door Merchandiser Refrigerator

Good working unit - I have all shelves. This is clean and stored clean. Used for produce in my little stand.

Holds 33 Degree F to 38 Degree F,

78.625"" Height, 29.875"" Width, 30"" Length",good,Sheridan,US-IN,40.135000;-86.220500,"40.135000, -86.220500",7689265180,2023-11-19T10:07:02-0500,Craigslist,15,0,
Deep freezer,Appliance,NonTV,Works just fine but just dont need it,good,Greenwood,US-IN,39.596000;-86.130900,"39.596000, -86.130900",7691429295,2023-11-26T10:04:11-0500,Craigslist,16,0,
Wall mount salon hair dryer,Appliance,NonTV,"Style, design, functionality, and innovative technology blend together into a single device with the Respiro Ionic Hooded Hair Dryer. This professional-grade Italian-made hooded dryer features a first choice ABS helmet with maximum thickness for higher heat resistance, a hood made of the highest quality materials, 2 speeds (1100 RPM slower or faster 1300 RPM motor) with timer for enhanced control over drying, thermostat, temperature control light, and a 2-blowing-speed adjustable Italian motor with low-noise technology. The Respiro is also equipped with a mobile base for enhanced functionality and easy maneuverability. Thanks to the large hood, airflow and internal flow system, the Respiro Ionic Hooded Dryer allows you and your salon to perform at your best. 10 years warranty for the heating elements. 5 years warranty for the motor. 2 years warranty for the hood dryer. See below for additional features.

Timer works as a power switch and is certified for heavy duty use
8ft power cord
Fan uses aluminum bushing for higher stability and controlled balance
Hood is made of first choice ABS plastic that heat and impact resistant
Thermostat is certified for heavy duty use
Heating elements provide high heating performance and zero maintenance
Engine is super resistant with zero maintenance necessary and provides an extremely long life
Can be started at any speed
Different rotation speeds obtained with internal speed coils and condenser
Hairnet Recommended
110-120 V
1000 Watt
50-60 Hz
Temperature Range: 68°F - 158 °F
Wall arm: 35""L (first section), 33""L (2nd section), 65""L (total maximum length measured from wall), 36"" Vertical Rang
This dryer must be hardwired by a licensed electrician under Minerva Beauty's warranty requirements. Plug for wall outlet not included.",excellent,Indianapolis,US-IN,39.872600;-86.276800,"39.872600, -86.276800",7691426456,2023-11-26T09:54:09-0500,Craigslist,17,0,
Puppy kennel,Appliance,NonTV,Pm me for info,Not specified,Greenwood,US-IN,39.610000;-86.179000,"39.610000, -86.179000",7691380904,2023-11-26T02:30:21-0500,Craigslist,18,0,
PORTABLE AIR CONDITIONER ~ NEW,Appliance,NonTV,NEW Portable Air Conditioners ~ Instructions available online ~ No box ~ Local Pick Up Only ~ Price Firm,new,Noblesville,US-IN,40.056300;-86.016300,"40.056300, -86.016300",7687501263,2023-11-14T09:31:23-0500,Craigslist,19,0,
Christmas tree spinner/rotator base,Appliance,NonTV,"Metal rotator base for an artificial Xmas tree up to 9 ft tall. Comes with original manual, pole adjustors, and an extra fuse. $140 or best offer.

https://www.amazon.com/Home-Heritage-Rotating-Christmas-Silver/dp/B07XD5MWHD?ref_=ast_sto_dp&th=1",like new,Carmel,US-IN,39.971200;-86.124500,"39.971200, -86.124500",7691332176,2023-11-25T20:08:43-0500,Craigslist,20,0,
Washer,Appliance,NonTV,"Samsung washer 2yrs old bought new. Don't need anymore and want out of my garage. Motivated to sell!!
Please text show contact info and I will respond immediately.",like new,Shelbyville,US-IN,39.494053;-85.803581,"39.494053, -85.803581",7691299800,2023-11-25T17:56:35-0500,Craigslist,21,0,
Oasis Vanity Sink Top,Appliance,NonTV,"Oasis Vanity Sink Top

#3722
RB
Date manufactured: Nov 22 1998

Please see images for details.",good,North Salem,US-IN,39.867100;-86.638800,"39.867100, -86.638800",7681368819,2023-10-27T15:05:43-0400,Craigslist,22,0,
